Part Name,Material Composition,Age (years),Condition,Location,Manufacturer,Aircraft Model,Potential Use Cases,New Parts Carbon Footprint (kg CO2e),Recycled Parts Carbon Footprint (kg CO2e),Water Usage - New Parts (liters),Water Usage - Recycled Parts (liters),Landfill Waste - New Parts (kg),Landfill Waste - Recycled Parts (kg),Energy Consumption - New Parts (kWh),Energy Consumption - Recycled Parts (kWh),Recycling Rate (%),Toxicity Score - New Parts,Toxicity Score - Recycled Parts,Remanufacturing Potential,Life Cycle Assessment,Renewable Material Content (%),Carbon Footprint Saved (kg CO2e),Water Usage Saved (liters),Landfill Waste Saved (kg),Energy Consumption Saved (kWh),Toxicity Score Difference,Remanufacturing Potential (%),Life Cycle Assessment Score
Fuselage,Titanium,14,New,Europe,Boeing,737,Furniture,325,160,8422,563,110,137,670,192,67.7873780913577,3.50058588994069,2.13078442971035,0.603471585573357,88.3479327129477,65.3316792074729,165,7859,-27,478,1.36980146023034,60.3471585573357,88.3479327129477
Wing,Steel,27,New,South America,Cessna,A320,Aircraft Maintenance,648,162,4242,553,822,195,3789,445,79.3420977624037,1.08708044376985,2.56079068731931,0.573461760811299,44.5328651761224,91.573208131383,486,3689,627,3344,-1.47371024354945,57.3461760811299,44.5328651761224
Wing,Steel,35,Used,North America,Embraer,Citation X,Building Materials,708,79,5207,522,579,116,3526,119,83.7894990479953,9.55804426356999,3.76761275691696,0.0732309562746943,11.8619297395481,39.3696872638453,629,4685,463,3407,5.79043150665302,7.32309562746943,11.8619297395481
Wing,Composite,47,New,Asia,Cessna,737,Aircraft Maintenance,527,75,4217,354,325,164,1159,484,61.9065473242734,3.57280273156163,3.01587999284878,0.0491200785273381,36.1306490646218,31.4910930641597,452,3863,161,675,0.556922738712846,4.91200785273381,36.1306490646218
Fuselage,Aluminum,39,Used,Africa,Embraer,CRJ900,Building Materials,466,126,8625,606,700,124,3945,165,60.281162293784,3.18210237467518,2.69827764268537,0.869291172829758,39.5686816470335,49.5818108351271,340,8019,576,3780,0.483824731989807,86.9291172829758,39.5686816470335
Wing,Titanium,39,New,South America,Cessna,737,Furniture,198,190,9905,760,683,35,3869,440,58.9755711023834,5.58023462352374,4.23626080958608,0.557055463641359,58.6909113189865,23.761356651461,8,9145,648,3429,1.34397381393766,55.7055463641359,58.6909113189865
Wing,Steel,21,New,Africa,Airbus,Citation X,Building Materials,339,116,8881,535,304,88,3609,225,73.1912784989594,3.70380680149917,1.63487392032245,0.0149068384166858,57.750192281853,91.5348683411265,223,8346,216,3384,2.06893288117672,1.49068384166858,57.750192281853
Avionics,Steel,27,Used,Asia,Airbus,CRJ900,Building Materials,636,75,5982,704,149,65,4014,455,92.692456786092,2.53951811488118,1.44051726290019,0.349346688715787,6.96964111682357,38.7471625731424,561,5278,84,3559,1.09900085198098,34.9346688715787,6.96964111682357
Engine,Titanium,36,Used,Africa,Embraer,A320,Building Materials,617,170,5397,498,832,101,1442,238,88.1104566821448,2.43271108233695,2.95352977124819,0.559514564917083,3.11357804488872,39.3379784782893,447,4899,731,1204,-0.520818688911241,55.9514564917083,3.11357804488872
Wing,Composite,5,New,Asia,Boeing,737,Building Materials,316,75,8122,427,904,142,2211,163,88.2098833331358,9.41182088212235,3.597896380565,0.980164429871987,3.45437138764768,38.3036212509642,241,7695,762,2048,5.81392450155734,98.0164429871987,3.45437138764768
Landing Gear,Titanium,38,Used,South America,Gulfstream,E175,Aircraft Maintenance,523,48,6456,376,455,44,4193,183,53.2957940102994,3.67060106615648,4.4641898121057,0.480819171116144,88.3814230608431,25.8630006742945,475,6080,411,4010,-0.793588745949219,48.0819171116144,88.3814230608431
Avionics,Composite,27,Used,Africa,Airbus,A320,Aircraft Maintenance,711,115,5229,850,481,166,2964,452,56.3349447755733,1.58556995012128,2.39699618677856,0.477470296227384,85.9704528488797,41.1592673088125,596,4379,315,2512,-0.811426236657278,47.7470296227384,85.9704528488797
Engine,Titanium,3,Used,Australia,Cessna,E175,Aircraft Maintenance,643,54,1509,810,742,90,4041,471,68.7524132899767,7.56800146445935,1.02330724930768,0.456492901804359,26.6851651013659,31.9430313518286,589,699,652,3570,6.54469421515167,45.6492901804359,26.6851651013659
Avionics,Composite,33,Used,Asia,Airbus,CRJ900,Aircraft Maintenance,919,112,2270,908,878,24,3047,119,89.0036213079047,3.49803225433817,2.97904915670614,0.945996145105549,88.8606489801522,61.3418069739716,807,1362,854,2928,0.518983097632031,94.5996145105549,88.8606489801522
Landing Gear,Composite,18,Used,Asia,Gulfstream,Citation X,Building Materials,573,132,9864,851,348,29,3859,335,79.2128304166834,6.34507252888787,4.66605869854749,0.424172084337343,40.9967952626019,15.9209450385212,441,9013,319,3524,1.67901383034038,42.4172084337343,40.9967952626019
Fuselage,Steel,28,Used,Asia,Cessna,A320,Building Materials,874,185,6569,441,112,26,2488,150,86.9138851260005,6.60549618512885,1.99414040856855,0.208807670770297,5.14585065902076,73.5200079119206,689,6128,86,2338,4.6113557765603,20.8807670770297,5.14585065902076
Avionics,Composite,38,New,Africa,Cessna,CRJ900,Art Installations,675,49,9837,603,935,35,3378,488,60.7735503063055,8.22452748426998,3.91303558143452,0.620165275019123,98.7657195475859,67.4899460407698,626,9234,900,2890,4.31149190283546,62.0165275019123,98.7657195475859
Fuselage,Aluminum,21,New,Asia,Embraer,737,Automotive Components,118,107,7081,509,758,137,611,492,88.3366059649591,3.73615170723067,4.07914685558318,0.367437358963121,83.4336246691113,58.6102311540106,11,6572,621,119,-0.342995148352514,36.7437358963121,83.4336246691113
Fuselage,Steel,42,New,Africa,Embraer,A320,Art Installations,590,99,1243,531,789,148,1651,404,77.6981722688032,7.43839425039962,3.46534866037722,0.627144757406588,80.5321414249018,56.6513288685064,491,712,641,1247,3.97304559002239,62.7144757406588,80.5321414249018
Landing Gear,Steel,43,Used,South America,Embraer,A320,Building Materials,459,150,1914,927,947,164,3987,358,91.2145849739483,6.96932088176168,4.14355702298919,0.660677226862918,39.8006486502746,29.0772110749378,309,987,783,3629,2.82576385877248,66.0677226862918,39.8006486502746
Avionics,Composite,10,New,Asia,Airbus,A320,Building Materials,110,196,1753,675,319,90,1865,270,67.7994163559211,2.55045074020887,3.31180957748953,0.317510733233191,27.0890246154547,14.4060654235479,-86,1078,229,1595,-0.761358837280653,31.7510733233191,27.0890246154547
Landing Gear,Titanium,19,Used,Africa,Boeing,Citation X,Furniture,761,29,6616,582,515,41,594,490,54.0806498686487,2.9408512875488,3.0455907859831,0.199359124112942,81.4599254951875,2.88094725186521,732,6034,474,104,-0.104739498434293,19.9359124112942,81.4599254951875
Engine,Titanium,49,New,Europe,Gulfstream,A320,Art Installations,357,67,2171,964,765,121,2126,409,82.8792700602188,6.38469014705626,3.69132378691773,0.197110196135547,58.8715503312635,48.7210263298375,290,1207,644,1717,2.69336636013852,19.7110196135547,58.8715503312635
Avionics,Aluminum,17,Used,South America,Airbus,Citation X,Building Materials,998,40,4949,686,395,138,4635,442,73.9454259650824,2.37046571560399,4.57071602588417,0.774674059496044,2.45545492446617,7.19666237196923,958,4263,257,4193,-2.20025031028017,77.4674059496044,2.45545492446617
Avionics,Titanium,7,New,Africa,Boeing,Citation X,Furniture,572,135,7131,908,208,32,4607,127,83.8479520454065,1.01918286778501,2.16676701634604,0.111784826682217,44.8768727122387,79.6549358567986,437,6223,176,4480,-1.14758414856102,11.1784826682217,44.8768727122387
Landing Gear,Composite,32,New,Australia,Boeing,CRJ900,Building Materials,151,74,5430,965,443,195,4516,367,77.8764949101677,4.08592041670416,1.61022789635915,0.976969479677934,43.8423394692213,19.4668162016896,77,4465,248,4149,2.47569252034501,97.6969479677934,43.8423394692213
Avionics,Steel,49,Used,Africa,Boeing,CRJ900,Automotive Components,899,138,6910,920,965,61,1609,426,82.1607755755107,7.32846539123625,2.66316324756309,0.440240190830748,98.2496458608085,67.2210254959882,761,5990,904,1183,4.66530214367315,44.0240190830748,98.2496458608085
Avionics,Aluminum,22,New,Africa,Cessna,A320,Automotive Components,500,46,3694,827,375,123,560,222,52.6644395039896,9.51533686521824,2.24239460602209,0.261603085332796,63.6991598593208,11.5028952733255,454,2867,252,338,7.27294225919615,26.1603085332796,63.6991598593208
Engine,Steel,36,Used,South America,Cessna,Citation X,Building Materials,853,161,3837,214,434,125,738,370,86.4916059597523,3.84470815833672,3.28090608683936,0.570377115544877,82.2286205357353,88.5310995366997,692,3623,309,368,0.563802071497367,57.0377115544877,82.2286205357353
Avionics,Steel,42,New,Australia,Embraer,G650,Furniture,957,78,6922,780,979,116,4064,249,77.6686461628536,9.75436397257732,1.30244546858131,0.610146774364604,50.6503537621085,37.4658029752276,879,6142,863,3815,8.451918503996,61.0146774364604,50.6503537621085
Avionics,Aluminum,36,New,Africa,Cessna,Citation X,Art Installations,103,55,2432,286,917,103,2237,411,54.5038573631228,6.31910828193161,4.91223376796579,0.910869366028395,70.3435079628681,60.4409363222292,48,2146,814,1826,1.40687451396581,91.0869366028395,70.3435079628681
Landing Gear,Composite,18,New,North America,Boeing,737,Automotive Components,155,57,7085,244,707,68,2079,440,66.8682361380667,1.64807180728033,3.71582160678507,0.302934338038327,54.6303606569884,69.3513206459027,98,6841,639,1639,-2.06774979950474,30.2934338038327,54.6303606569884
Wing,Composite,20,Used,Europe,Gulfstream,Citation X,Building Materials,361,144,8313,290,929,162,2108,401,79.7854413652448,2.26446621797565,1.55401638297867,0.625754217671923,80.6859722451094,3.54006304032277,217,8023,767,1707,0.710449834996973,62.5754217671923,80.6859722451094
Engine,Steel,43,Used,Europe,Bombardier,A320,Automotive Components,497,52,3905,932,249,38,2487,165,86.436249305887,7.69187521392422,2.64732529351253,0.566315625164664,42.7878041923607,18.6693979344506,445,2973,211,2322,5.04454992041168,56.6315625164664,42.7878041923607
Engine,Aluminum,21,New,South America,Embraer,CRJ900,Aircraft Maintenance,950,137,8372,325,131,51,2700,324,51.8573675559801,8.41320412398715,2.32635463014438,0.359348497243163,18.2205591433724,37.3422904307339,813,8047,80,2376,6.08684949384277,35.9348497243163,18.2205591433724
Fuselage,Composite,12,New,South America,Boeing,737,Art Installations,860,80,1348,973,949,157,3777,392,58.5533500867366,6.31049528989165,1.06987688928124,0.306765200092927,18.7494745250044,20.6391541999529,780,375,792,3385,5.2406184006104,30.6765200092927,18.7494745250044
Fuselage,Aluminum,25,New,South America,Gulfstream,G650,Building Materials,760,63,2752,653,948,133,4965,213,83.4748112056255,9.1542096297306,1.28274695038216,0.518962893946083,47.3793237986087,60.5335316122887,697,2099,815,4752,7.87146267934844,51.8962893946083,47.3793237986087
Landing Gear,Composite,37,Used,Asia,Cessna,G650,Art Installations,801,69,2029,893,831,142,3097,431,73.1164894624334,3.96969329141686,3.70941637328109,0.287250332694552,23.1675501752438,9.49965177743939,732,1136,689,2666,0.260276918135769,28.7250332694552,23.1675501752438
Avionics,Composite,25,New,North America,Boeing,E175,Automotive Components,207,101,2554,898,110,177,3601,168,66.2746467198052,7.13780496081942,2.27229779184908,0.00323182335828697,26.18055548999,48.0301358540287,106,1656,-67,3433,4.86550716897034,0.323182335828697,26.18055548999
Fuselage,Aluminum,49,New,Africa,Airbus,CRJ900,Furniture,732,154,1177,264,670,105,2231,373,87.9735244453787,8.91800685188885,1.81802615057028,0.647567134852776,96.5918981948356,78.9299832375835,578,913,565,1858,7.09998070131857,64.7567134852776,96.5918981948356
Wing,Titanium,24,Used,Asia,Gulfstream,E175,Automotive Components,930,74,3248,645,510,162,542,127,56.2957251432433,4.02382241615217,4.04360594785572,0.163755345946464,96.9687050036265,81.2818910307255,856,2603,348,415,-0.0197835317035544,16.3755345946464,96.9687050036265
Fuselage,Steel,23,New,Asia,Airbus,737,Furniture,622,161,8897,474,400,123,1726,265,67.0953537928198,1.67479767892641,3.66727255664466,0.890055218518536,55.9626171005704,46.217002946611,461,8423,277,1461,-1.99247487771825,89.0055218518536,55.9626171005704
Fuselage,Steel,22,New,Australia,Airbus,G650,Furniture,759,142,4110,387,355,130,789,257,67.5763473797057,7.13072963066135,3.21958376585349,0.221013104744181,51.1871215701318,8.78292345733765,617,3723,225,532,3.91114586480785,22.1013104744181,51.1871215701318
Fuselage,Steel,48,Used,South America,Boeing,737,Furniture,584,64,8520,941,449,79,1914,127,82.8921427506114,3.62009237809026,4.8156217848957,0.354641064514021,25.7605419652356,94.9730113081181,520,7579,370,1787,-1.19552940680544,35.4641064514021,25.7605419652356
Avionics,Aluminum,24,New,Australia,Embraer,737,Art Installations,713,189,1853,979,727,195,683,328,65.8096580254728,1.63007021068777,2.97868232753596,0.143430275080832,98.6454709039372,11.8241997438585,524,874,532,355,-1.34861211684818,14.3430275080832,98.6454709039372
Wing,Composite,22,Used,South America,Boeing,Citation X,Building Materials,636,50,1576,478,705,113,2551,133,79.5239374151231,4.96281160627997,1.10622080678634,0.762354060871666,26.6657821812926,69.5098288714945,586,1098,592,2418,3.85659079949363,76.2354060871666,26.6657821812926
Wing,Steel,38,New,Europe,Boeing,737,Furniture,265,88,7143,969,201,88,2591,439,64.1949289160179,2.92137248025022,4.15565432344246,0.144642004798811,26.0835465140832,39.3707207264059,177,6174,113,2152,-1.23428184319223,14.4642004798811,26.0835465140832
Engine,Steel,9,New,Africa,Embraer,737,Aircraft Maintenance,520,114,6433,729,171,36,1314,348,55.7341660588776,1.58569728684702,1.9784002660361,0.966957631005405,21.7090743213924,24.1620296222984,406,5704,135,966,-0.392702979189078,96.6957631005405,21.7090743213924
Fuselage,Aluminum,7,Used,Africa,Gulfstream,737,Furniture,879,185,8401,479,669,151,846,479,50.0547706239055,2.96082336523267,1.10615055214927,0.846444238520723,27.7875164796641,93.0009341896872,694,7922,518,367,1.8546728130834,84.6444238520723,27.7875164796641
Fuselage,Composite,13,Used,North America,Gulfstream,Citation X,Furniture,651,124,2740,290,299,54,1176,434,57.4099506643931,9.14784287581318,4.59685965941433,0.140977463132267,88.7853125678566,43.3743352544006,527,2450,245,742,4.55098321639885,14.0977463132267,88.7853125678566
Landing Gear,Titanium,13,New,Europe,Cessna,Citation X,Art Installations,921,171,3979,822,974,22,2431,384,53.0341333086449,3.63560427816379,1.24924183671678,0.635828100925417,51.5497921248305,9.64668373703017,750,3157,952,2047,2.386362441447,63.5828100925417,51.5497921248305
Avionics,Steel,11,Used,North America,Bombardier,CRJ900,Automotive Components,856,91,1725,873,289,36,4314,159,71.7300875595306,8.11173833122304,3.27217393207088,0.396237438573257,78.1951466211008,96.8922575293132,765,852,253,4155,4.83956439915216,39.6237438573257,78.1951466211008
Wing,Composite,28,New,Asia,Bombardier,737,Building Materials,149,186,5898,999,321,180,4191,210,92.9635716103158,2.10089646289288,2.96514823842058,0.392380900312725,35.2254450181508,77.7254533579239,-37,4899,141,3981,-0.864251775527693,39.2380900312725,35.2254450181508
Fuselage,Composite,46,New,Africa,Embraer,CRJ900,Art Installations,415,88,5481,421,728,22,623,346,55.1503515811611,6.33561678449505,3.91580319992883,0.347686190365376,84.4946129977822,23.9628258829434,327,5060,706,277,2.41981358456622,34.7686190365376,84.4946129977822
Wing,Titanium,5,New,Europe,Boeing,G650,Automotive Components,598,44,1085,212,936,84,3127,316,87.3970121997619,2.54954613148987,1.31873468179107,0.137775172977483,17.885616280321,23.2537338700292,554,873,852,2811,1.23081144969879,13.7775172977483,17.885616280321
Fuselage,Titanium,6,Used,Asia,Airbus,A320,Building Materials,915,185,8406,959,166,76,3459,224,63.6537616523981,3.30507715494192,2.91645038440557,0.15228334308298,83.7817346608386,71.8760452148297,730,7447,90,3235,0.388626770536348,15.228334308298,83.7817346608386
Fuselage,Aluminum,7,Used,Australia,Embraer,737,Automotive Components,126,95,2836,281,820,53,902,354,76.1444008337214,4.45890125504033,2.50215618122258,0.785345110835029,27.0256051140248,33.1021867381821,31,2555,767,548,1.95674507381774,78.5345110835029,27.0256051140248
Avionics,Steel,18,Used,Australia,Embraer,E175,Building Materials,651,66,1152,997,986,150,1239,440,89.2940798032441,5.47505252715428,1.83035348403369,0.00886009966860867,8.37308259525654,54.8486418037624,585,155,836,799,3.64469904312059,0.886009966860867,8.37308259525654
Landing Gear,Composite,38,New,Africa,Embraer,CRJ900,Automotive Components,136,167,8128,488,466,183,1512,154,90.2307487249887,6.34359561377176,3.68677750543612,0.448393179085583,87.6210452658605,54.3711611512721,-31,7640,283,1358,2.65681810833564,44.8393179085584,87.6210452658605
Wing,Composite,20,Used,Africa,Cessna,G650,Automotive Components,205,197,6727,369,540,121,1724,323,70.9916189125469,7.45108018699232,2.39992124352986,0.44027966753856,72.9495365367032,48.5611115711097,8,6358,419,1401,5.05115894346246,44.027966753856,72.9495365367032
Fuselage,Composite,23,Used,South America,Airbus,737,Furniture,469,194,5886,911,177,158,4518,163,50.6374535449466,3.45797686795785,2.48314937466124,0.509060275006183,95.0352912317943,39.431119902304,275,4975,19,4355,0.974827493296612,50.9060275006183,95.0352912317943
Wing,Steel,45,New,Africa,Cessna,A320,Furniture,555,39,8942,973,479,82,2833,290,77.5360821110451,7.07983445703478,2.86281485007015,0.861297937626574,24.1876833860347,21.8471281914847,516,7969,397,2543,4.21701960696462,86.1297937626574,24.1876833860347
Wing,Composite,17,Used,Australia,Boeing,E175,Furniture,990,103,4865,385,608,141,2102,425,90.774960622014,5.12879589930027,3.93290216321279,0.23540177538694,19.6670834504945,67.6350998856784,887,4480,467,1677,1.19589373608747,23.540177538694,19.6670834504945
Landing Gear,Titanium,15,Used,Europe,Embraer,CRJ900,Art Installations,831,128,1911,327,653,57,1242,484,62.3135664350919,3.43525994017292,1.27725079224314,0.81612778349859,47.0524016310695,39.8245151314321,703,1584,596,758,2.15800914792978,81.612778349859,47.0524016310695
Avionics,Aluminum,45,New,Asia,Gulfstream,G650,Automotive Components,362,80,8193,775,930,148,3364,153,70.3937601375871,9.18440339958004,1.76721687028043,0.112578287697969,41.8020272809444,45.2492553149056,282,7418,782,3211,7.4171865292996,11.2578287697969,41.8020272809444
Wing,Steel,8,Used,South America,Bombardier,CRJ900,Aircraft Maintenance,933,148,2950,325,748,107,2196,361,83.189738626097,4.73900273441241,4.73062815097316,0.441435367765094,62.806583166604,62.1782946212164,785,2625,641,1835,0.00837458343925767,44.1435367765094,62.806583166604
Landing Gear,Titanium,48,Used,South America,Boeing,G650,Aircraft Maintenance,322,131,2643,667,312,159,1534,291,59.8152441347599,1.99434655844635,2.48591141265712,0.360220201966965,25.7196839035625,77.9353665593294,191,1976,153,1243,-0.491564854210769,36.0220201966965,25.7196839035625
Avionics,Steel,10,New,South America,Embraer,CRJ900,Furniture,831,26,8531,571,914,81,1671,231,75.0905024776177,3.32301903243786,1.74676176722567,0.671446518709201,9.39133248649372,79.2845339967284,805,7960,833,1440,1.57625726521219,67.1446518709201,9.39133248649372
Avionics,Aluminum,10,New,North America,Cessna,CRJ900,Aircraft Maintenance,502,154,6764,304,466,151,1889,409,57.5017120230696,9.23067560921744,2.84609113774064,0.814348226833998,65.9647118367613,96.602933961514,348,6460,315,1480,6.3845844714768,81.4348226833998,65.9647118367613
Landing Gear,Aluminum,21,New,North America,Boeing,E175,Furniture,564,69,9257,451,618,143,3917,458,69.1403875335985,3.17966759002037,4.79443018265134,0.780597908906962,18.9504989831489,75.2250997186322,495,8806,475,3459,-1.61476259263096,78.0597908906962,18.9504989831489
Landing Gear,Titanium,41,New,Europe,Airbus,CRJ900,Furniture,731,178,4538,822,933,193,1493,478,71.2743865997652,9.74820370283013,1.63672227865669,0.101432597402947,90.1875902116684,23.7538521938371,553,3716,740,1015,8.11148142417343,10.1432597402947,90.1875902116684
Wing,Titanium,22,New,Asia,Airbus,G650,Furniture,774,86,7916,655,364,185,1017,103,84.3142331124441,2.42934169178942,3.4821817184517,0.718758638908292,75.3451912954267,30.7708636081657,688,7261,179,914,-1.05284002666227,71.8758638908292,75.3451912954267
Fuselage,Aluminum,24,Used,Africa,Boeing,G650,Art Installations,419,124,2930,801,584,37,3124,449,76.4913304237904,2.24071352692383,3.23508478151025,0.644530787788202,21.3713237074746,23.6924634978962,295,2129,547,2675,-0.994371254586418,64.4530787788202,21.3713237074746
Avionics,Aluminum,21,New,Europe,Embraer,CRJ900,Aircraft Maintenance,225,157,1703,542,645,131,3783,291,56.5741669453634,5.27159358434319,4.02612649812291,0.130181990871924,33.6967641252847,64.1544201835241,68,1161,514,3492,1.24546708622028,13.0181990871924,33.6967641252847
Landing Gear,Aluminum,38,New,Asia,Bombardier,E175,Furniture,128,162,3938,989,121,46,2145,102,88.8773359877868,2.33389894239257,3.22348882538381,0.71727446695638,53.6249058350273,49.0906584901721,-34,2949,75,2043,-0.889589882991242,71.727446695638,53.6249058350273
Engine,Aluminum,38,New,South America,Boeing,Citation X,Automotive Components,472,47,2222,787,183,166,1554,163,88.4996610881117,8.17906106019315,2.37052369464127,0.561996857326799,19.9930724294208,70.0504889832354,425,1435,17,1391,5.80853736555188,56.1996857326799,19.9930724294208
Avionics,Titanium,27,New,Europe,Boeing,737,Aircraft Maintenance,278,33,1639,719,856,167,4638,493,75.9782347194225,3.30880453655332,4.98579040899326,0.278261348698467,17.7594197628767,33.124335615655,245,920,689,4145,-1.67698587243993,27.8261348698467,17.7594197628767
Fuselage,Composite,27,New,Africa,Airbus,G650,Art Installations,660,37,5418,330,735,155,1494,292,92.1622702856988,1.23945346202777,3.09401301986801,0.115679188129897,47.2513672210094,2.0220923940567,623,5088,580,1202,-1.85455955784023,11.5679188129897,47.2513672210094
Avionics,Steel,10,New,Australia,Boeing,737,Aircraft Maintenance,502,102,2829,693,779,30,574,285,67.9163273816211,6.49465119471653,1.63205621550263,0.833895227507173,2.6485373946346,20.8265479343509,400,2136,749,289,4.8625949792139,83.3895227507173,2.6485373946346
Landing Gear,Aluminum,4,Used,Asia,Bombardier,Citation X,Art Installations,962,93,3632,490,355,156,4034,443,50.1065437876821,6.88257773457489,3.66048546192736,0.685632785733942,1.34128219735368,3.54595769368347,869,3142,199,3591,3.22209227264753,68.5632785733942,1.34128219735368
Landing Gear,Aluminum,14,Used,South America,Boeing,Citation X,Furniture,519,69,3430,834,670,188,1248,414,73.7494635975492,9.50017504220297,3.75406802830786,0.822157128237716,66.7149795787639,22.7952751889689,450,2596,482,834,5.7461070138951,82.2157128237717,66.7149795787639
Avionics,Steel,24,Used,Europe,Airbus,E175,Art Installations,914,26,1183,608,637,79,3061,157,94.5246724051404,6.60256094238026,4.47211286582122,0.135841231607539,4.75040772422205,33.7322772549198,888,575,558,2904,2.13044807655904,13.5841231607539,4.75040772422205
Landing Gear,Titanium,19,Used,Africa,Cessna,Citation X,Building Materials,853,183,4526,262,398,79,4431,268,92.9040784680742,7.44755085690497,4.52527567618151,0.683844073737149,8.91120992508085,45.197306371072,670,4264,319,4163,2.92227518072346,68.3844073737149,8.91120992508085
Wing,Aluminum,23,New,Asia,Boeing,G650,Building Materials,358,97,1889,425,539,83,4435,458,67.2076015505671,4.95113523659637,4.87985494514621,0.498295723627698,66.0647744936074,36.7955730611325,261,1464,456,3977,0.0712802914501615,49.8295723627698,66.0647744936074
Wing,Steel,35,New,Asia,Boeing,CRJ900,Aircraft Maintenance,438,94,3879,496,336,20,1927,182,86.9886755355128,7.67618034025191,3.02416012784277,0.25325606752527,52.4698542688761,11.9057997405746,344,3383,316,1745,4.65202021240913,25.325606752527,52.4698542688761
Avionics,Composite,15,New,Africa,Cessna,Citation X,Building Materials,309,32,8052,721,251,189,2033,242,67.2812979305286,9.61766089844967,3.44113863553593,0.144520371001424,2.55568292214417,28.8486758876918,277,7331,62,1791,6.17652226291373,14.4520371001424,2.55568292214417
Landing Gear,Aluminum,0,Used,South America,Boeing,E175,Automotive Components,193,109,5102,329,649,44,701,201,60.9424956251477,8.2158133832086,3.05036078853576,0.515177670775286,83.2664143871625,37.3804165223559,84,4773,605,500,5.16545259467283,51.5177670775285,83.2664143871625
Engine,Aluminum,18,Used,Australia,Boeing,737,Aircraft Maintenance,960,77,8106,859,979,150,3423,230,61.4983400075761,5.64292976886119,3.1059998786771,0.744855598519209,5.05892908367841,63.7599255755699,883,7247,829,3193,2.53692989018408,74.4855598519209,5.05892908367841
Engine,Steel,10,Used,South America,Airbus,737,Building Materials,121,122,5719,935,586,158,4073,173,71.623788292964,7.32461131917468,1.85659262001213,0.824826346382505,15.644679672769,19.7098457680699,-1,4784,428,3900,5.46801869916254,82.4826346382505,15.644679672769
Engine,Titanium,44,New,Europe,Bombardier,Citation X,Aircraft Maintenance,505,107,9730,949,579,118,3550,168,75.967141392509,8.94492369280042,3.00502848556374,0.128019755924839,24.5399527044691,59.9663462846065,398,8781,461,3382,5.93989520723667,12.8019755924839,24.5399527044691
Avionics,Composite,39,New,South America,Embraer,G650,Aircraft Maintenance,241,175,5170,950,750,33,3598,412,85.5543433467709,5.68204981611693,3.28618099251084,0.768849006725471,96.2770370945944,6.76711234233894,66,4220,717,3186,2.39586882360608,76.8849006725471,96.2770370945944
Avionics,Titanium,25,Used,North America,Embraer,CRJ900,Automotive Components,470,189,7925,403,263,154,767,375,86.3105909777433,6.66275569087122,2.20325537570987,0.0447848579212268,79.5764166813786,38.9189032518615,281,7522,109,392,4.45950031516134,4.47848579212268,79.5764166813786
Avionics,Composite,0,New,South America,Boeing,CRJ900,Furniture,151,22,6448,846,743,33,4810,222,53.776415493581,4.5889994689891,3.96612817391137,0.443628961220111,55.8632300289829,29.023117341666,129,5602,710,4588,0.622871295077729,44.3628961220111,55.8632300289829
Engine,Steel,33,Used,Europe,Embraer,E175,Furniture,965,140,1116,470,679,186,1711,240,90.6155857719726,1.38569638679064,4.7543269346258,0.0276921478877667,82.8010454625442,3.25009639692015,825,646,493,1471,-3.36863054783515,2.76921478877667,82.8010454625442
Engine,Steel,49,Used,Europe,Boeing,A320,Art Installations,781,155,5177,501,152,197,4611,497,89.4888722925874,9.36206336119055,4.42384128881612,0.62444774019998,51.7432324186984,73.1817975670335,626,4676,-45,4114,4.93822207237442,62.444774019998,51.7432324186984
Landing Gear,Composite,45,Used,Europe,Airbus,Citation X,Art Installations,466,68,2139,907,336,163,3971,294,58.1465865301696,7.31313225674797,1.58251024505732,0.407718120910559,46.2610679061242,66.9410494945949,398,1232,173,3677,5.73062201169065,40.7718120910559,46.2610679061242
Engine,Composite,14,Used,North America,Airbus,737,Furniture,557,112,3145,218,498,88,3239,274,65.9982401681647,6.20038409883946,4.29032518832465,0.617847300271199,75.2747427492139,98.134420187185,445,2927,410,2965,1.9100589105148,61.7847300271199,75.2747427492139
Landing Gear,Steel,38,New,Australia,Gulfstream,Citation X,Aircraft Maintenance,253,99,5902,453,925,60,3108,435,77.8576248953676,6.70844255774099,3.27440480762207,0.770343644925766,3.49075462198361,56.5149902227515,154,5449,865,2673,3.43403775011892,77.0343644925766,3.49075462198361
Wing,Titanium,9,New,Australia,Gulfstream,CRJ900,Furniture,818,57,8081,980,512,52,4925,442,80.6311110934407,5.93411045110325,2.49370221689317,0.628863034649214,60.6784413030614,75.0679424148194,761,7101,460,4483,3.44040823421007,62.8863034649214,60.6784413030614
Fuselage,Composite,36,Used,North America,Gulfstream,Citation X,Aircraft Maintenance,834,54,5029,708,102,142,1795,328,59.207328398118,9.93739452112352,2.30764865211429,0.0305282315366207,85.0519833145756,19.8261145744395,780,4321,-40,1467,7.62974586900922,3.05282315366207,85.0519833145756
Engine,Aluminum,2,New,Australia,Airbus,G650,Building Materials,303,70,3792,951,787,88,2269,152,73.9612887735407,3.81175314406781,4.4886918161831,0.961012631365913,18.9155941109006,17.9343333592337,233,2841,699,2117,-0.676938672115285,96.1012631365913,18.9155941109006
